1832,2644945,3
3418,2644945,4
6482,2644945,5
6666,2644945,4
9087,2644945,4
14712,2644945,2
15516,2644945,4
15582,2644945,2
16082,2644945,3
1744,2644964,3
3418,2644964,3
4761,2644964,2
4981,2644964,3
6482,2644964,3
9087,2644964,2
11158,2644964,1
14137,2644964,3
14712,2644964,4
28,2645399,4
1832,2645399,2
3253,2645399,2
3418,2645399,4
6482,2645399,3
10721,2645399,4
14712,2645399,4
15582,2645399,5
16082,2645399,3
1832,2645431,2
4761,2645431,2
6482,2645431,3
6650,2645431,1
14137,2645431,3
14712,2645431,1
15582,2645431,2
16082,2645431,1
1744,2645446,4
3418,2645446,4
4761,2645446,4
6482,2645446,4
14712,2645446,3
15449,2645446,3
15582,2645446,4
16082,2645446,3
1744,2645476,4
1832,2645476,5
3253,2645476,3
6482,2645476,2
10576,2645476,4
15582,2645476,2
28,2645579,4
907,2645579,4
992,2645579,5
1744,2645579,5
1832,2645579,4
3418,2645579,4
3740,2645579,5
4761,2645579,5
6482,2645579,4
6666,2645579,4
9087,2645579,3
11965,2645579,4
12538,2645579,3
13927,2645579,4
14137,2645579,4
14712,2645579,3
15582,2645579,4
16082,2645579,3
1061,2645671,3
3418,2645671,5
6482,2645671,5
6650,2645671,5
14712,2645671,3
15582,2645671,5
16082,2645671,3
28,2645676,4
305,2645676,3
3418,2645676,3
14712,2645676,2
15449,2645676,4
15582,2645676,5
16082,2645676,4
1744,2645828,4
1832,2645828,4
3253,2645828,4
4761,2645828,5
6482,2645828,4
10721,2645828,4
14137,2645828,1
16082,2645828,3
28,2645868,4
1744,2645868,3
3253,2645868,3
6482,2645868,3
14137,2645868,3
14712,2645868,3
15582,2645868,1
28,2645928,4
3418,2645928,3
4761,2645928,3
6482,2645928,3
12538,2645928,3
14712,2645928,3
15582,2645928,3
16082,2645928,4
1744,2645984,3
4049,2645984,2
4061,2645984,3
14712,2645984,1
15582,2645984,3
1744,2646058,4
3253,2646058,2
3418,2646058,2
6482,2646058,4
12824,2646058,5
15582,2646058,1
16082,2646058,1
1744,2646115,3
3253,2646115,3
3944,2646115,4
4761,2646115,3
5877,2646115,3
10576,2646115,4
14712,2646115,1
1744,2646207,4
3418,2646207,4
6482,2646207,3
12292,2646207,3
14712,2646207,3
15449,2646207,3
15582,2646207,4
16082,2646207,3
28,2646347,4
595,2646347,5
992,2646347,3
1744,2646347,3
3418,2646347,4
3740,2646347,3
4761,2646347,3
6482,2646347,2
11688,2646347,4
12292,2646347,5
13927,2646347,3
14712,2646347,3
15449,2646347,5
15516,2646347,2
15582,2646347,4
16082,2646347,4
3418,2646504,2
14712,2646504,3
15449,2646504,3
15582,2646504,4
16082,2646504,4
28,2646574,4
1744,2646574,4
1832,2646574,3
3418,2646574,2
3740,2646574,4
4761,2646574,3
6482,2646574,3
6666,2646574,4
9855,2646574,2
14137,2646574,3
14712,2646574,3
15449,2646574,2
15576,2646574,3
15582,2646574,3
16082,2646574,3
3418,2646626,2
4761,2646626,3
5877,2646626,4
6482,2646626,3
577,2646634,5
907,2646634,5
1744,2646634,3
1832,2646634,5
3740,2646634,5
3944,2646634,3
4761,2646634,2
4981,2646634,4
6666,2646634,4
9087,2646634,2
14137,2646634,1
28,2646703,2
1744,2646703,4
4761,2646703,2
14137,2646703,4
28,2646712,5
1744,2646712,4
7186,2646712,4
8781,2646712,2
9087,2646712,4
12292,2646712,4
14137,2646712,1
14712,2646712,2
15582,2646712,3
16082,2646712,3
1744,2646766,4
3418,2646766,3
12538,2646766,3
13927,2646766,4
14712,2646766,1
305,2647162,3
3418,2647162,5
6482,2647162,5
14712,2647162,3
15582,2647162,5
305,2647197,4
992,2647197,5
1744,2647197,3
3418,2647197,3
6482,2647197,4
6666,2647197,5
9087,2647197,3
9855,2647197,3
11158,2647197,3
14137,2647197,3
14712,2647197,4
16082,2647197,3
6482,2647396,2
12292,2647396,3
15576,2647396,4
15582,2647396,3
16082,2647396,3
28,2647406,3
3418,2647406,3
4761,2647406,3
6482,2647406,4
14137,2647406,4
14712,2647406,3
1744,2647559,4
3944,2647559,4
5877,2647559,4
12292,2647559,4
14137,2647559,3
14712,2647559,4
15582,2647559,3
305,2647648,4
6482,2647648,2
14712,2647648,5
15449,2647648,4
15582,2647648,4
16082,2647648,3
907,2647871,5
4761,2647871,2
14712,2647871,1
305,2647888,4
1744,2647888,4
4761,2647888,5
6482,2647888,4
6666,2647888,4
14712,2647888,2
15582,2647888,3
28,2648085,5
48,2648085,3
1744,2648085,4
3418,2648085,3
4049,2648085,5
4761,2648085,4
14712,2648085,4
15582,2648085,3
